anno,month,type,value
2010,12,AMAZONAS,3
2010,12,ANTIOQUIA,56
2010,12,ARAUCA,6
2010,12,ATLANTICO,176
2010,12,BOLIVAR,429
2010,12,BOYACA,26
2010,12,CALDAS,50
2010,12,CAQUETA,4
2010,12,CASANARE,4
2010,12,CAUCA,1
2010,12,CESAR,14
2010,12,CHOCO,8
2010,12,CORDOBA,1
2010,12,CUNDINAMARCA,4633
2010,12,GUAINIA,0
2010,12,GUAJIRA,20
2010,12,GUAVIARE,0
2010,12,HUILA,169
2010,12,MAGDALENA,8
2010,12,META,123
2010,12,NARINO,20
2010,12,NORTE DE SANTANDER,31
2010,12,PUTUMAYO,0
2010,12,QUINDIO,23
2010,12,RISARALDA,42
2010,12,SAN ANDRES,0
2010,12,SANTANDER,122
2010,12,SUCRE,86
2010,12,TOLIMA,86
2010,12,VALLE,420
2010,12,VAUPES,0
2010,12,VICHADA,0
2011,1,AMAZONAS,2
2011,1,ANTIOQUIA,112
2011,1,ARAUCA,1
2011,1,ATLANTICO,201
2011,1,BOLIVAR,52
2011,1,BOYACA,52
2011,1,CALDAS,68
2011,1,CAQUETA,5
2011,1,CASANARE,4
2011,1,CAUCA,19
2011,1,CESAR,37
2011,1,CHOCO,8
2011,1,CORDOBA,8
2011,1,CUNDINAMARCA,627
2011,1,GUAINIA,1
2011,1,GUAJIRA,18
2011,1,GUAVIARE,0
2011,1,HUILA,69
2011,1,MAGDALENA,56
2011,1,META,205
2011,1,NARINO,156
2011,1,NORTE DE SANTANDER,17
2011,1,PUTUMAYO,7
2011,1,QUINDIO,23
2011,1,RISARALDA,94
2011,1,SAN ANDRES,1
2011,1,SANTANDER,187
2011,1,SUCRE,117
2011,1,TOLIMA,105
2011,1,VALLE,191
2011,1,VAUPES,0
2011,1,VICHADA,0
2011,2,AMAZONAS,1
2011,2,ANTIOQUIA,117
2011,2,ARAUCA,1
2011,2,ATLANTICO,230
2011,2,BOLIVAR,131
2011,2,BOYACA,70
2011,2,CALDAS,63
2011,2,CAQUETA,117
2011,2,CASANARE,11
2011,2,CAUCA,12
2011,2,CESAR,37
2011,2,CHOCO,4
2011,2,CORDOBA,8
2011,2,CUNDINAMARCA,561
2011,2,GUAINIA,0
2011,2,GUAJIRA,17
2011,2,GUAVIARE,0
2011,2,HUILA,73
2011,2,MAGDALENA,53
2011,2,META,196
2011,2,NARINO,214
2011,2,NORTE DE SANTANDER,23
2011,2,PUTUMAYO,24
2011,2,QUINDIO,15
2011,2,RISARALDA,92
2011,2,SAN ANDRES,94
2011,2,SANTANDER,189
2011,2,SUCRE,65
2011,2,TOLIMA,108
2011,2,VALLE,367
2011,2,VAUPES,0
2011,2,VICHADA,0
2011,3,AMAZONAS,2
2011,3,ANTIOQUIA,98
2011,3,ARAUCA,36
2011,3,ATLANTICO,138
2011,3,BOLIVAR,46
2011,3,BOYACA,65
2011,3,CALDAS,117
2011,3,CAQUETA,18
2011,3,CASANARE,10
2011,3,CAUCA,20
2011,3,CESAR,27
2011,3,CHOCO,4
2011,3,CORDOBA,10
2011,3,CUNDINAMARCA,664
2011,3,GUAINIA,1
2011,3,GUAJIRA,25
2011,3,GUAVIARE,0
2011,3,HUILA,54
2011,3,MAGDALENA,45
2011,3,META,172
2011,3,NARINO,139
2011,3,NORTE DE SANTANDER,36
2011,3,PUTUMAYO,6
2011,3,QUINDIO,6
2011,3,RISARALDA,157
2011,3,SAN ANDRES,0
2011,3,SANTANDER,174
2011,3,SUCRE,157
2011,3,TOLIMA,105
2011,3,VALLE,287
2011,3,VAUPES,0
2011,3,VICHADA,0
2011,4,AMAZONAS,13
2011,4,ANTIOQUIA,107
2011,4,ARAUCA,5
2011,4,ATLANTICO,142
2011,4,BOLIVAR,168
2011,4,BOYACA,60
2011,4,CALDAS,61
2011,4,CAQUETA,16
2011,4,CASANARE,3
2011,4,CAUCA,31
2011,4,CESAR,23
2011,4,CHOCO,6
2011,4,CORDOBA,35
2011,4,CUNDINAMARCA,699
2011,4,GUAINIA,0
2011,4,GUAJIRA,15
2011,4,GUAVIARE,0
2011,4,HUILA,72
2011,4,MAGDALENA,77
2011,4,META,148
2011,4,NARINO,106
2011,4,NORTE DE SANTANDER,47
2011,4,PUTUMAYO,7
2011,4,QUINDIO,2
2011,4,RISARALDA,101
2011,4,SAN ANDRES,5
2011,4,SANTANDER,213
2011,4,SUCRE,63
2011,4,TOLIMA,105
2011,4,VALLE,288
2011,4,VAUPES,0
2011,4,VICHADA,0
2011,5,AMAZONAS,0
2011,5,ANTIOQUIA,82
2011,5,ARAUCA,4
2011,5,ATLANTICO,218
2011,5,BOLIVAR,30
2011,5,BOYACA,93
2011,5,CALDAS,87
2011,5,CAQUETA,22
2011,5,CASANARE,5
2011,5,CAUCA,11
2011,5,CESAR,26
2011,5,CHOCO,3
2011,5,CORDOBA,33
2011,5,CUNDINAMARCA,549
2011,5,GUAINIA,0
2011,5,GUAJIRA,85
2011,5,GUAVIARE,2
2011,5,HUILA,135
2011,5,MAGDALENA,55
2011,5,META,155
2011,5,NARINO,110
2011,5,NORTE DE SANTANDER,49
2011,5,PUTUMAYO,2
2011,5,QUINDIO,22
2011,5,RISARALDA,84
2011,5,SAN ANDRES,3
2011,5,SANTANDER,299
2011,5,SUCRE,88
2011,5,TOLIMA,117
2011,5,VALLE,296
2011,5,VAUPES,0
2011,5,VICHADA,1
2011,6,AMAZONAS,0
2011,6,ANTIOQUIA,76
2011,6,ARAUCA,8
2011,6,ATLANTICO,194
2011,6,BOLIVAR,114
